Gender,Age,Academic Percentage,Maths Score,Science Score,English Score,Programming Skill,Communication Skill,Logical Thinking,Creativity,Leadership,Interest,Personality Type,Preferred Subject,Career Label
Female,16,85.18,76.21,99.6,85.28,5,7,2,6,6,Medicine,Analytical,Science,Doctor
Male,18,69.4,54.15,56.09,71.08,6,7,9,10,5,Design,Creative,Arts,Graphic Designer
Male,22,83.92,95.7,76.49,75.8,7,4,7,7,6,Technology,Investigative,Mathematics,Data Scientist
Male,18,66.94,77.03,86.33,66.37,4,4,10,4,5,Science,Practical,Mathematics,Mechanical Engineer
Male,16,73.82,93.09,43.64,69.58,5,7,8,10,9,Business,Leadership,Mathematics,Business Analyst
Female,17,82.17,94.41,78.09,54.64,9,7,9,5,1,Mathematics,Analytical,Mathematics,Data Scientist
Male,17,81.15,85.36,58.61,66.07,10,6,8,2,5,Mathematics,Analytical,Computer Science,Software Engineer
Female,20,91.52,68.07,30.0,74.97,4,9,5,4,5,Social Work,Social,Social Studies,Lawyer
Male,21,77.93,63.67,63.37,86.73,4,9,6,5,5,Medicine,Social,Social Studies,Teacher
Female,18,78.65,41.66,40.94,81.7,7,3,5,10,1,Design,Creative,Computer Science,Graphic Designer
Female,22,84.3,85.69,77.46,63.85,10,7,7,8,6,Science,Analytical,Computer Science,Software Engineer
Female,16,73.92,63.84,59.16,62.21,4,7,9,9,10,Business,Investigative,Mathematics,Business Analyst
Female,19,72.11,89.87,73.83,68.98,9,5,9,5,6,Science,Investigative,Mathematics,Data Scientist
Female,17,77.53,76.29,69.48,68.27,2,7,9,3,5,Mathematics,Practical,Mathematics,Mechanical Engineer
Male,21,85.68,68.25,62.95,70.7,2,10,8,5,8,Social Work,Social,Social Studies,Lawyer
Female,17,80.5,67.94,77.28,90.62,2,10,4,6,5,Social Work,Investigative,Biology,Psychologist
Male,19,79.3,74.44,59.02,71.05,4,9,8,4,2,Social Work,Social,English,Teacher
Male,21,78.27,89.32,76.45,59.09,9,5,8,4,7,Technology,Analytical,Mathematics,Data Scientist
Female,21,83.1,58.55,39.34,89.64,2,9,8,4,9,Arts,Leadership,English,Lawyer
Male,16,76.77,91.9,69.54,49.58,8,4,9,4,6,Mathematics,Practical,Computer Science,Data Scientist
Female,21,73.44,71.68,48.47,88.97,2,7,6,7,9,Arts,Investigative,Commerce,Lawyer
Female,21,80.2,75.5,93.45,67.91,1,4,7,1,6,Science,Investigative,Science,Doctor
Male,20,87.03,72.12,63.9,74.69,4,10,8,1,8,Business,Leadership,Commerce,Lawyer
Male,18,82.68,49.39,59.44,75.32,3,9,4,8,7,Social Work,Creative,Social Studies,Psychologist
Male,20,80.57,71.79,53.65,79.82,1,8,8,5,9,Social Work,Social,English,Lawyer
Female,22,69.81,69.09,69.25,81.59,4,6,3,8,4,Design,Creative,Arts,Graphic Designer
Male,17,58.95,69.31,66.74,73.05,1,10,5,7,10,Business,Social,Social Studies,Teacher
Male,19,59.87,72.18,77.68,84.22,1,8,5,8,7,Arts,Social,Arts,Teacher
Female,22,96.12,69.14,96.74,86.13,2,3,9,4,4,Science,Creative,Computer Science,Doctor
Female,21,86.03,90.86,74.72,39.23,7,4,10,6,2,Science,Investigative,Mathematics,Data Scientist
Male,21,78.9,57.58,63.21,83.47,1,7,3,6,7,Social Work,Creative,Social Studies,Psychologist
Female,21,75.37,60.62,63.19,71.18,1,6,5,8,3,Social Work,Social,Social Studies,Psychologist
Female,22,86.17,77.74,75.54,80.77,5,9,7,6,4,Arts,Creative,English,Teacher
Male,22,84.92,61.63,75.77,75.78,1,8,6,7,4,Social Work,Social,Social Studies,Psychologist
Female,16,51.62,70.85,68.87,62.16,8,5,9,7,5,Science,Analytical,Computer Science,Mechanical Engineer
Male,17,81.59,45.88,61.06,90.44,3,10,5,7,9,Social Work,Social,English,Teacher
Female,16,79.83,89.15,77.22,68.2,8,4,10,7,6,Technology,Analytical,Mathematics,Data Scientist
Male,22,86.6,79.78,81.11,62.49,6,7,8,9,5,Science,Investigative,Biology,Doctor
Female,21,81.37,72.71,68.34,81.76,6,8,6,6,2,Arts,Social,Social Studies,Teacher
Female,16,79.29,81.29,66.85,90.8,2,8,4,8,7,Arts,Creative,English,Teacher
Female,22,63.05,44.44,58.59,76.35,3,10,7,9,2,Arts,Practical,Computer Science,Graphic Designer
Female,22,88.56,89.5,65.09,57.51,10,4,8,6,2,Design,Analytical,Computer Science,Software Engineer
Female,20,80.5,58.66,65.32,74.73,3,8,7,9,6,Social Work,Social,Social Studies,Psychologist
Female,21,72.81,94.83,74.62,58.05,10,10,8,7,6,Technology,Analytical,Science,Software Engineer
Male,19,77.69,70.18,49.95,54.4,2,10,4,9,8,Design,Social,Arts,Graphic Designer
Male,16,73.78,67.93,72.68,69.75,2,5,2,10,6,Social Work,Social,Biology,Psychologist
Male,20,55.07,38.37,57.11,81.51,5,7,4,10,7,Design,Creative,Computer Science,Graphic Designer
Female,18,73.94,84.91,45.79,72.8,7,8,8,3,9,Business,Leadership,Mathematics,Business Analyst
Male,21,80.44,89.69,73.78,69.34,10,4,7,7,8,Mathematics,Investigative,Mathematics,Data Scientist
Female,21,84.75,89.33,63.94,69.37,7,1,10,6,8,Mathematics,Investigative,Mathematics,Data Scientist
Male,16,81.36,89.23,79.42,54.35,5,3,7,6,1,Mathematics,Investigative,Mathematics,Civil Engineer
Male,16,77.02,78.73,70.11,63.17,7,3,9,6,6,Technology,Analytical,Mathematics,Mechanical Engineer
Male,17,90.18,53.81,54.64,67.98,1,10,7,5,7,Social Work,Social,Social Studies,Psychologist
Female,17,76.96,71.31,59.25,51.87,10,2,9,6,5,Technology,Analytical,Science,Software Engineer
Female,17,79.05,84.22,69.96,71.74,4,8,7,5,9,Arts,Leadership,Commerce,Business Analyst
Female,16,81.8,78.38,81.56,55.63,5,6,6,5,6,Mathematics,Practical,Mathematics,Civil Engineer
Female,19,79.52,83.95,75.93,69.01,10,6,10,4,7,Technology,Analytical,Mathematics,Data Scientist
Male,22,79.33,89.07,66.01,55.48,6,6,9,3,7,Science,Investigative,Computer Science,Data Scientist
Female,20,70.26,59.89,52.3,69.1,2,7,7,7,6,Social Work,Creative,Biology,Psychologist
Female,21,69.17,58.69,52.22,86.88,1,8,9,7,8,Business,Leadership,Science,Lawyer
Female,22,91.92,83.8,63.66,79.55,9,4,9,7,5,Technology,Investigative,Science,Data Scientist
Female,20,69.17,77.79,70.29,85.77,5,7,9,6,5,Mathematics,Practical,Science,Mechanical Engineer
Male,22,84.67,86.79,79.58,81.06,10,5,8,6,4,Science,Investigative,Computer Science,Software Engineer
Male,22,84.94,67.58,69.36,64.39,5,8,6,6,7,Technology,Leadership,Social Studies,Business Analyst
Male,17,66.59,92.14,73.57,79.94,2,6,8,4,6,Science,Practical,Social Studies,Civil Engineer
Male,20,92.08,89.71,81.56,67.32,8,4,10,3,2,Technology,Analytical,Computer Science,Data Scientist
Male,17,60.89,56.03,75.23,72.76,3,9,5,7,8,Social Work,Creative,Social Studies,Psychologist
Female,22,64.81,70.25,41.7,68.6,5,8,3,7,6,Arts,Analytical,English,Teacher
Female,18,73.45,76.71,77.89,61.03,4,6,5,4,6,Science,Practical,Science,Civil Engineer
Female,17,73.24,56.3,60.36,93.7,1,8,6,5,8,Medicine,Investigative,Social Studies,Lawyer
Male,19,77.13,88.92,68.76,58.72,8,4,7,7,7,Mathematics,Analytical,Computer Science,Data Scientist
Female,19,64.72,64.6,89.95,66.11,3,3,9,6,1,Science,Analytical,Mathematics,Mechanical Engineer
Male,16,90.04,71.1,89.54,64.97,4,9,6,5,6,Arts,Investigative,Science,Doctor
Female,19,83.48,93.47,70.69,61.29,8,4,6,5,6,Mathematics,Analytical,Mathematics,Software Engineer
Female,18,74.0,69.3,75.35,64.48,3,5,6,5,2,Science,Analytical,Computer Science,Mechanical Engineer
Female,21,79.25,60.51,87.56,70.97,1,5,8,3,8,Science,Analytical,Biology,Doctor
Female,22,81.99,54.61,73.92,68.41,3,9,7,8,4,Science,Creative,English,Psychologist
Male,19,82.54,70.21,42.96,74.57,6,10,7,8,3,Medicine,Creative,Social Studies,Teacher
Male,20,88.39,79.14,64.71,79.11,5,7,5,9,8,Social Work,Social,English,Teacher
Female,19,80.95,98.04,61.95,48.17,10,4,8,5,6,Technology,Investigative,Mathematics,Software Engineer
Male,20,87.49,72.48,82.19,67.09,1,3,5,6,7,Science,Practical,Science,Civil Engineer
Male,22,79.86,72.77,54.3,71.75,3,9,4,7,5,Social Work,Social,English,Teacher
Female,19,65.18,74.49,73.68,53.27,2,7,7,4,5,Science,Investigative,Mathematics,Civil Engineer
Male,20,75.95,61.31,67.3,70.1,1,8,7,6,8,Arts,Social,Computer Science,Teacher
Female,20,80.72,64.3,58.73,90.73,5,9,5,9,6,Business,Social,Arts,Teacher
Female,16,89.79,79.58,90.78,64.68,4,6,8,4,4,Social Work,Social,Science,Doctor
Male,21,72.12,73.91,32.7,64.92,1,6,6,10,5,Arts,Creative,Arts,Graphic Designer
Female,18,94.26,67.09,89.73,65.67,4,6,5,7,7,Medicine,Investigative,Science,Doctor
Female,20,75.13,55.2,58.58,88.99,6,9,3,5,7,Social Work,Investigative,Mathematics,Psychologist
Male,22,75.63,64.89,54.23,71.08,4,8,6,8,9,Technology,Leadership,Social Studies,Business Analyst
Male,20,76.63,48.35,56.67,83.05,2,10,7,7,4,Social Work,Creative,English,Psychologist
Male,22,68.31,86.45,67.73,60.7,10,2,9,5,4,Technology,Creative,Science,Software Engineer
Female,17,86.05,75.9,74.15,45.64,4,7,6,9,5,Mathematics,Analytical,Science,Civil Engineer
Male,21,81.0,68.77,48.08,81.06,6,8,9,2,6,Business,Analytical,Commerce,Business Analyst
Male,16,73.52,70.04,61.24,80.74,4,7,8,7,8,Business,Social,Commerce,Business Analyst
Female,20,96.35,59.98,56.8,68.66,5,9,7,2,8,Arts,Leadership,Social Studies,Teacher
Female,22,85.77,99.53,67.24,60.05,7,5,8,2,1,Science,Analytical,Mathematics,Data Scientist
Male,18,64.62,57.04,65.08,80.87,2,9,7,6,9,Arts,Leadership,Social Studies,Lawyer
Female,16,90.16,55.1,59.87,80.11,1,9,9,2,6,Arts,Social,Social Studies,Lawyer
Female,19,95.32,48.32,86.05,77.6,5,6,7,5,6,Social Work,Investigative,Biology,Doctor
Male,18,74.13,81.39,72.82,46.74,7,1,9,5,4,Technology,Analytical,Science,Data Scientist
Male,20,84.97,67.59,54.34,82.76,2,9,6,6,6,Business,Social,Social Studies,Teacher
Male,22,75.59,76.44,51.64,74.98,6,5,7,6,7,Business,Leadership,Commerce,Business Analyst
Female,19,62.87,62.82,55.04,72.61,1,7,5,6,8,Business,Social,English,Lawyer
Male,19,80.83,41.52,64.72,73.71,2,8,7,10,4,Social Work,Social,Social Studies,Psychologist
Male,22,81.05,69.48,63.99,73.23,9,5,7,5,7,Technology,Creative,Mathematics,Software Engineer
Female,16,83.19,78.45,67.28,65.31,3,4,5,2,5,Science,Practical,Mathematics,Civil Engineer
Male,17,70.9,89.57,74.45,84.9,1,6,9,4,6,Technology,Investigative,Mathematics,Civil Engineer
Female,22,83.35,57.99,90.93,58.98,6,8,5,7,8,Medicine,Investigative,Science,Doctor
Female,17,66.86,67.55,66.86,66.25,5,8,6,4,9,Business,Creative,Mathematics,Business Analyst
Female,20,66.38,88.49,55.97,79.4,8,7,5,1,8,Business,Analytical,Commerce,Business Analyst
Female,22,83.75,83.58,65.8,63.77,9,1,10,3,4,Science,Practical,Arts,Data Scientist
Female,19,60.92,45.14,57.69,61.54,6,9,5,10,4,Arts,Creative,English,Graphic Designer
Female,21,83.71,73.05,83.19,67.69,5,8,8,5,5,Social Work,Investigative,Science,Doctor
Male,20,81.11,51.11,55.88,76.82,2,8,8,9,6,Social Work,Creative,Mathematics,Lawyer
Female,21,81.79,90.72,39.4,56.64,6,3,4,7,7,Business,Social,Commerce,Business Analyst
Female,21,80.77,62.45,58.52,79.85,6,10,5,4,5,Arts,Social,Arts,Teacher
Female,18,64.81,72.7,83.61,68.45,6,8,7,9,3,Science,Practical,Mathematics,Mechanical Engineer
Female,19,72.45,56.54,46.99,74.91,5,8,6,6,5,Arts,Social,Arts,Teacher
Male,17,84.7,69.91,69.13,76.87,10,7,8,9,7,Science,Analytical,Computer Science,Software Engineer
Male,16,70.17,62.86,61.29,60.62,8,3,5,10,6,Design,Practical,Arts,Graphic Designer
Female,16,84.69,50.99,72.33,72.71,2,8,9,4,4,Social Work,Social,Biology,Psychologist
Female,22,68.84,85.16,87.39,65.55,9,4,6,5,7,Science,Creative,Science,Software Engineer
Male,18,57.43,85.08,90.25,46.35,3,4,8,5,5,Science,Analytical,Science,Civil Engineer
Female,16,83.63,87.7,77.4,80.82,6,3,8,1,3,Science,Practical,Mathematics,Civil Engineer
Male,21,85.0,59.13,76.44,57.57,2,7,7,9,6,Medicine,Social,Biology,Doctor
Female,19,90.58,65.19,92.03,58.66,1,7,6,7,3,Medicine,Social,Biology,Doctor
Male,21,65.65,64.32,55.17,83.05,6,9,4,6,6,Business,Social,Social Studies,Teacher
Female,19,71.12,78.44,74.48,78.09,9,4,10,2,6,Technology,Analytical,Science,Software Engineer
Female,16,81.84,92.15,80.68,84.17,3,6,8,2,4,Medicine,Social,English,Doctor
Female,18,86.19,72.7,86.26,61.22,2,5,5,5,6,Technology,Practical,Mathematics,Civil Engineer
Male,19,83.69,56.42,56.02,77.83,3,9,6,8,7,Social Work,Investigative,English,Lawyer
Male,22,85.64,93.05,80.38,65.98,3,7,3,5,5,Technology,Practical,Science,Civil Engineer
Female,18,76.17,85.53,63.11,62.46,6,3,8,4,2,Technology,Investigative,Science,Mechanical Engineer
Female,19,73.74,48.96,43.1,83.02,4,9,5,7,10,Arts,Investigative,Social Studies,Lawyer
Female,19,68.83,90.97,71.84,46.68,4,7,7,4,8,Mathematics,Analytical,Mathematics,Civil Engineer
Male,19,81.35,83.68,81.06,62.26,7,4,9,8,5,Mathematics,Investigative,Mathematics,Data Scientist
Female,18,70.82,58.17,39.59,83.37,6,8,6,7,7,Design,Practical,Arts,Graphic Designer
Male,19,73.14,51.07,59.01,62.8,4,3,3,8,7,Arts,Creative,English,Graphic Designer
Female,20,70.38,62.39,67.5,70.51,4,9,8,4,5,Medicine,Social,Social Studies,Teacher
Male,20,87.78,41.31,79.33,92.54,3,9,8,5,5,Social Work,Investigative,English,Psychologist
Male,17,67.49,76.96,66.5,75.8,2,7,9,5,3,Medicine,Creative,Biology,Psychologist
Male,18,69.66,45.99,70.32,83.18,5,7,5,5,10,Social Work,Creative,English,Teacher
Female,22,87.04,55.55,90.74,87.58,4,8,5,6,4,Science,Analytical,Social Studies,Doctor
Male,20,70.63,50.27,65.86,78.35,6,10,4,8,4,Science,Social,Arts,Teacher
Female,22,60.82,57.57,37.91,71.69,7,9,9,10,6,Arts,Creative,Arts,Graphic Designer
Female,21,73.49,77.37,85.59,60.14,2,7,7,3,8,Mathematics,Practical,Mathematics,Civil Engineer
Female,22,76.55,80.15,88.5,62.18,6,5,8,7,7,Technology,Practical,Mathematics,Mechanical Engineer
Female,17,92.69,75.43,87.22,66.83,1,6,5,6,8,Medicine,Investigative,Science,Doctor
Male,19,74.37,79.28,67.74,69.56,8,7,10,4,4,Technology,Creative,Computer Science,Software Engineer
Female,19,67.15,49.48,48.79,65.0,2,4,3,10,6,Arts,Creative,English,Graphic Designer
Female,19,78.22,53.22,57.43,65.97,1,9,7,9,6,Arts,Investigative,Mathematics,Psychologist
Male,22,70.12,78.0,65.37,70.77,3,8,7,8,7,Business,Social,English,Teacher
Male,21,92.26,78.81,70.82,58.26,3,7,10,8,3,Mathematics,Analytical,Science,Mechanical Engineer
Female,22,85.98,78.26,54.34,71.45,2,9,6,9,4,Arts,Leadership,English,Teacher
Female,19,75.6,67.07,51.46,72.06,3,6,6,6,9,Business,Social,Commerce,Lawyer
Female,16,96.1,45.59,70.89,86.59,1,10,4,4,6,Business,Investigative,Commerce,Lawyer
Male,17,90.47,58.83,97.75,63.93,6,8,5,4,10,Science,Analytical,English,Doctor
Female,19,77.35,66.35,71.36,78.5,3,9,7,7,7,Social Work,Creative,Social Studies,Psychologist
Female,16,61.35,52.82,30.0,79.95,2,9,4,8,3,Mathematics,Creative,English,Graphic Designer
Female,22,81.14,79.74,73.64,47.81,2,3,8,7,8,Science,Practical,Science,Civil Engineer
Female,16,95.89,68.83,77.93,75.69,7,7,7,5,8,Business,Social,Commerce,Business Analyst
Male,16,73.29,74.52,80.8,65.43,3,6,7,2,6,Mathematics,Analytical,Science,Civil Engineer
Male,18,72.85,86.82,85.32,60.66,4,7,8,4,3,Technology,Investigative,Science,Mechanical Engineer
Female,18,76.66,53.95,67.77,75.32,1,9,3,5,7,Medicine,Creative,Biology,Psychologist
Male,22,84.27,89.73,66.59,61.22,8,8,7,3,7,Science,Analytical,Science,Data Scientist
Female,18,65.93,65.9,80.95,85.5,1,8,8,7,8,Social Work,Creative,Biology,Psychologist
Female,18,63.95,64.34,53.27,68.83,6,9,1,9,2,Design,Creative,Arts,Graphic Designer
Male,20,70.42,53.07,60.74,89.63,3,9,9,8,10,Design,Social,Commerce,Lawyer
Male,17,61.67,64.89,56.99,73.01,1,4,6,5,3,Social Work,Creative,English,Psychologist
Male,16,95.12,96.05,62.27,79.6,10,4,7,5,10,Technology,Investigative,Science,Software Engineer
Female,19,88.88,74.34,72.98,59.47,9,5,10,5,5,Technology,Analytical,Social Studies,Software Engineer
Female,22,72.4,64.88,58.6,82.06,2,9,6,6,5,Medicine,Social,English,Teacher
Female,16,73.29,81.61,59.9,61.93,3,6,5,5,8,Business,Social,Commerce,Business Analyst
Female,22,79.73,70.71,69.71,62.58,3,7,6,4,6,Mathematics,Analytical,Mathematics,Civil Engineer
Male,22,69.47,91.3,79.01,55.57,8,4,7,2,7,Technology,Analytical,Computer Science,Software Engineer
Male,17,71.03,81.83,84.57,70.21,9,2,9,7,6,Technology,Investigative,Science,Software Engineer
Female,21,79.71,68.04,60.41,85.42,1,6,7,8,3,Social Work,Social,Computer Science,Psychologist
Female,22,69.43,53.12,51.23,79.38,1,8,5,6,8,Business,Leadership,English,Lawyer
Female,19,63.36,62.01,61.58,78.58,6,10,7,4,6,Medicine,Social,Arts,Teacher
Female,22,74.68,86.75,71.74,83.51,6,5,9,3,6,Arts,Analytical,Computer Science,Data Scientist
Female,18,73.81,74.18,77.1,72.84,5,8,10,5,8,Business,Social,English,Teacher
Female,18,53.21,52.34,57.52,80.33,4,9,7,4,7,Business,Creative,English,Teacher
Male,16,85.32,92.51,70.3,75.89,9,1,9,4,6,Technology,Practical,Computer Science,Data Scientist
Male,21,79.97,78.62,76.09,58.27,7,3,6,10,5,Science,Investigative,Science,Mechanical Engineer
Female,16,74.37,76.09,75.87,53.31,4,7,4,5,5,Science,Practical,Computer Science,Mechanical Engineer
Female,19,65.13,62.11,78.18,86.71,2,10,8,8,4,Social Work,Social,English,Teacher
Female,22,90.13,63.86,69.33,79.31,2,8,4,6,8,Arts,Creative,English,Teacher
Male,17,96.83,64.34,88.8,77.45,3,10,7,6,5,Social Work,Creative,Science,Doctor
Male,20,80.96,86.1,94.58,94.19,1,5,5,5,10,Science,Practical,Mathematics,Civil Engineer
Male,21,65.08,78.59,70.76,61.95,2,3,5,8,8,Technology,Analytical,Social Studies,Civil Engineer
Female,17,85.31,53.51,66.58,79.39,4,4,4,7,4,Design,Creative,Mathematics,Graphic Designer
Female,16,72.16,73.82,67.49,62.65,4,4,10,5,6,Mathematics,Analytical,Science,Mechanical Engineer
Male,16,77.42,68.15,71.24,70.76,5,10,5,7,2,Business,Leadership,English,Teacher
Female,16,67.41,45.69,51.78,67.57,4,4,3,9,2,Arts,Creative,Computer Science,Graphic Designer
Female,21,65.86,57.01,50.26,50.81,6,7,9,10,1,Arts,Creative,Computer Science,Graphic Designer
Male,17,83.62,53.33,68.23,84.12,3,8,7,3,5,Business,Investigative,Biology,Lawyer
Male,16,65.2,64.9,34.29,68.4,3,5,4,9,7,Design,Practical,Computer Science,Graphic Designer
Male,17,86.92,74.58,64.5,66.69,6,10,8,5,9,Business,Social,Commerce,Business Analyst
Female,18,80.62,75.54,69.68,73.75,3,8,8,1,10,Mathematics,Social,Mathematics,Business Analyst
Male,21,70.44,87.25,70.76,47.31,9,4,10,5,4,Technology,Creative,Mathematics,Software Engineer
Female,19,89.26,58.55,73.69,92.15,4,8,5,5,8,Social Work,Creative,Social Studies,Teacher
Male,21,74.62,69.06,80.53,73.66,6,7,10,8,9,Technology,Analytical,Mathematics,Mechanical Engineer
Male,17,72.01,76.68,44.74,81.21,6,7,6,5,6,Business,Social,Social Studies,Business Analyst
Male,16,74.5,79.49,65.36,88.48,4,10,4,3,7,Business,Leadership,Commerce,Lawyer
Female,16,72.24,74.92,54.42,80.99,7,9,8,7,8,Technology,Leadership,Social Studies,Business Analyst
Male,20,66.49,98.76,73.82,76.6,10,5,7,5,7,Science,Analytical,Mathematics,Software Engineer
Female,20,83.82,62.6,77.14,75.2,3,7,5,7,6,Social Work,Social,Social Studies,Psychologist
Female,22,72.83,77.37,62.55,63.69,2,9,7,7,7,Business,Investigative,Mathematics,Business Analyst
Female,20,74.23,65.47,44.67,91.73,4,9,7,9,9,Medicine,Leadership,Social Studies,Lawyer
Male,17,87.64,56.13,84.69,72.12,1,8,4,6,5,Business,Social,Arts,Teacher
Male,21,82.2,79.84,74.32,35.72,5,8,9,4,6,Technology,Investigative,Social Studies,Civil Engineer
Female,16,64.39,56.64,66.99,99.16,3,6,4,9,7,Design,Social,English,Graphic Designer
Male,16,78.54,53.61,47.2,84.66,3,8,9,4,10,Social Work,Investigative,English,Lawyer
Male,16,77.88,68.42,59.84,86.27,2,9,5,4,3,Social Work,Investigative,English,Lawyer
Male,21,69.28,99.04,79.83,78.64,2,4,10,6,4,Mathematics,Practical,Science,Civil Engineer
Male,21,72.26,63.75,72.47,69.3,7,6,6,6,8,Mathematics,Practical,Mathematics,Civil Engineer
Female,16,77.06,85.63,58.59,77.04,8,5,6,8,6,Business,Analytical,Mathematics,Business Analyst
Male,22,56.56,55.83,53.83,54.84,4,5,8,9,6,Business,Practical,Computer Science,Graphic Designer
Female,17,67.15,62.88,55.39,84.21,2,9,1,7,10,Arts,Creative,Arts,Teacher
Female,20,77.68,73.33,64.9,81.07,4,8,9,1,3,Medicine,Investigative,Social Studies,Psychologist
Female,20,58.84,47.44,36.15,79.71,7,9,5,10,8,Design,Creative,Arts,Graphic Designer
Female,22,82.04,65.22,33.75,99.8,1,8,3,4,7,Arts,Investigative,Social Studies,Lawyer
Female,20,73.91,63.7,61.24,82.94,1,7,6,5,6,Medicine,Investigative,Social Studies,Psychologist
Female,18,94.55,61.58,92.9,81.89,1,6,7,3,2,Science,Investigative,Science,Doctor
Female,18,79.75,55.87,47.28,73.33,1,8,2,9,4,Technology,Creative,English,Graphic Designer
Male,17,85.22,99.76,81.43,62.06,10,6,8,5,2,Technology,Analytical,Computer Science,Data Scientist
Female,21,56.72,84.21,83.26,42.14,5,5,8,2,8,Mathematics,Analytical,Mathematics,Mechanical Engineer
Female,16,86.08,54.27,80.08,67.18,5,5,7,7,9,Mathematics,Practical,Mathematics,Civil Engineer
Male,21,72.6,84.18,74.41,51.18,4,8,7,6,3,Science,Investigative,Science,Mechanical Engineer
Male,17,86.33,70.46,85.29,77.07,6,7,8,6,5,Medicine,Investigative,Biology,Doctor
Male,22,78.51,91.87,71.03,40.45,1,4,8,3,5,Science,Analytical,Science,Civil Engineer
Male,18,68.55,79.18,83.98,70.53,5,4,10,5,5,Science,Practical,Science,Civil Engineer
Female,17,79.8,56.42,96.75,53.49,3,8,6,5,6,Medicine,Investigative,Biology,Doctor
Female,22,69.96,58.43,70.01,64.41,3,8,4,3,8,Social Work,Social,English,Teacher
Female,16,83.11,84.88,75.06,63.94,8,8,9,2,8,Science,Investigative,Computer Science,Data Scientist
Male,22,85.04,95.68,66.8,77.23,1,9,4,6,10,Social Work,Creative,English,Teacher
Male,22,75.96,77.47,75.99,51.03,4,2,5,7,2,Science,Analytical,Science,Mechanical Engineer
Female,21,81.15,72.69,75.93,78.71,3,8,7,3,7,Medicine,Analytical,Biology,Doctor
Female,20,87.94,85.67,82.86,60.78,7,9,7,10,6,Technology,Practical,Computer Science,Data Scientist
Female,19,84.72,50.86,94.34,82.38,1,8,10,5,4,Medicine,Social,Biology,Doctor
Male,18,78.98,88.66,75.31,72.54,9,3,10,6,3,Technology,Analytical,Computer Science,Software Engineer
Male,19,91.8,67.88,88.86,68.76,4,6,7,4,8,Medicine,Investigative,Biology,Doctor
Male,18,80.74,88.7,63.2,65.42,4,7,10,1,5,Mathematics,Leadership,Biology,Mechanical Engineer
Female,22,77.03,54.5,66.19,67.57,1,10,4,5,4,Medicine,Social,Social Studies,Psychologist
Female,21,65.53,41.44,54.57,71.34,4,4,4,8,6,Design,Creative,Arts,Graphic Designer
Male,19,82.08,89.82,83.9,84.52,9,4,6,7,7,Science,Analytical,Science,Software Engineer
Male,17,66.21,78.2,77.29,64.7,1,8,7,5,6,Arts,Creative,Social Studies,Teacher
Male,22,71.4,72.39,82.74,39.47,9,1,7,5,8,Technology,Analytical,Mathematics,Software Engineer
Male,22,77.17,82.17,71.08,57.11,3,3,10,2,6,Technology,Investigative,Mathematics,Civil Engineer
Male,18,81.42,45.89,61.57,97.66,1,9,3,4,9,Business,Social,English,Lawyer
Female,17,79.77,76.2,73.2,70.27,2,7,6,6,6,Science,Practical,Science,Civil Engineer
Male,20,85.08,74.73,78.01,64.88,2,5,5,4,8,Mathematics,Analytical,Social Studies,Civil Engineer
Male,19,63.87,67.66,72.91,63.85,7,6,8,7,3,Medicine,Social,English,Psychologist
Male,21,74.66,90.23,66.37,60.21,9,2,8,2,3,Mathematics,Practical,Computer Science,Data Scientist
Female,16,68.83,41.89,69.41,72.09,4,7,2,7,5,Arts,Practical,Arts,Graphic Designer
Female,20,72.44,89.13,60.87,67.99,10,3,9,4,4,Mathematics,Practical,Mathematics,Data Scientist
Male,19,42.45,54.87,60.28,86.76,5,9,5,8,5,Design,Creative,English,Graphic Designer
Male,17,80.71,63.2,59.93,69.19,6,7,9,4,9,Business,Leadership,Commerce,Business Analyst
Male,21,78.3,74.05,55.56,83.26,2,9,4,5,8,Arts,Social,English,Teacher
Male,19,81.48,64.19,66.65,83.27,3,10,7,4,9,Business,Leadership,English,Lawyer
Male,18,95.85,70.0,73.02,83.45,2,10,6,3,6,Arts,Investigative,Social Studies,Lawyer
Male,22,87.33,59.91,87.85,61.2,4,9,6,5,4,Business,Investigative,English,Doctor
Male,16,79.1,72.38,69.9,78.13,1,10,7,8,9,Business,Social,Commerce,Business Analyst
Female,16,67.35,67.64,62.57,80.86,2,8,6,7,5,Medicine,Leadership,Social Studies,Teacher
Male,19,86.55,68.01,61.16,75.34,9,7,7,3,6,Business,Creative,Mathematics,Business Analyst
Female,17,78.25,81.95,81.61,65.75,10,6,10,4,4,Technology,Analytical,Mathematics,Data Scientist
Male,18,90.21,57.15,60.8,74.56,5,5,1,8,3,Arts,Creative,Social Studies,Graphic Designer
Male,22,96.41,50.37,78.05,70.46,1,8,7,8,8,Business,Social,Biology,Psychologist
Male,22,98.56,98.95,84.85,43.16,4,7,10,3,6,Mathematics,Practical,Computer Science,Mechanical Engineer
Male,19,78.48,66.96,74.51,68.48,1,7,6,3,3,Arts,Creative,Biology,Psychologist
Female,18,74.33,90.88,76.04,51.97,9,3,8,4,4,Technology,Social,Commerce,Software Engineer
Male,20,71.35,79.09,54.13,77.04,6,10,9,5,8,Business,Social,Social Studies,Lawyer
Female,21,75.82,68.8,54.52,85.18,1,7,4,6,9,Social Work,Social,Commerce,Lawyer
